Spring 2026,,,,,,,,,,,,,,
2026-02-01 11:29:24,,,,,,,,,,,,,,
School,Level,Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start date,End date,Days,Time,Enr,Cap,Faculty,Room
GSB,UG,ACCT 201,1L,Introduction to Accounting,   3.0,6,12-JAN-26,24-APR-26,T ,02:00 PM-05:00 PM,51,50,"Mirat Akshalov, Christian Sofilkanitsch",(C3) 1009 - cap:70
GSB,UG,ACCT 201,2L,Introduction to Accounting,   3.0,6,12-JAN-26,24-APR-26,R ,02:00 PM-05:00 PM,30,23,"Mirat Akshalov, Christian Sofilkanitsch",(C3) 3017 - cap:38
SSH,UG,ANT 101,1L,Being Human: An Introduction to Four Field Anthropology,   3.0,6,12-JAN-26,24-APR-26,T ,01:30 PM-02:45 PM,108,75,Russell Zanca,Green Hall - cap:231
SSH,UG,ANT 101,1L,Being Human: An Introduction to Four Field Anthropology,   3.0,6,12-JAN-26,24-APR-26,R ,01:30 PM-02:45 PM,108,75,Russell Zanca,Green Hall - cap:231
SSH,UG,ANT 110,1L,Introduction to Sociocultural Anthropology,   3.0,6,12-JAN-26,24-APR-26,T ,06:00 PM-07:15 PM,148,150,Alima Bissenova,Green Hall - cap:231
SSH,UG,ANT 110,1L,Introduction to Sociocultural Anthropology,   3.0,6,12-JAN-26,24-APR-26,R ,06:00 PM-07:15 PM,148,150,Alima Bissenova,Green Hall - cap:231
SSH,UG,ANT 140,1L,World Prehistory,   3.0,6,12-JAN-26,24-APR-26,T ,10:30 AM-11:45 AM,87,100,Abay Namen,5.103 - cap:160
SSH,UG,ANT 140,1L,World Prehistory,   3.0,6,12-JAN-26,24-APR-26,R ,10:30 AM-11:45 AM,87,100,Abay Namen,5.103 - cap:160
SSH,UG,ANT 214/SOC 214,1S,Qualitative Methods,   3.0,6,12-JAN-26,24-APR-26,T ,10:30 AM-11:45 AM,27,27,Karina Matkarimova,8.310 - cap:27
SSH,UG,ANT 214/SOC 214,1S,Qualitative Methods,   3.0,6,12-JAN-26,24-APR-26,R ,10:30 AM-11:45 AM,27,27,Karina Matkarimova,8.310 - cap:27
SSH,UG,ANT 214/SOC 214,2S,Qualitative Methods,   3.0,6,12-JAN-26,24-APR-26,T ,10:30 AM-11:45 AM,27,27,Philipp Schroeder,8.154 - cap:56
SSH,UG,ANT 214/SOC 214,2S,Qualitative Methods,   3.0,6,12-JAN-26,24-APR-26,R ,10:30 AM-11:45 AM,27,27,Philipp Schroeder,8.154 - cap:56
SSH,UG,ANT 215/REL 215,1L,What is Islam? Anthropological Perspectives,   3.0,6,12-JAN-26,24-APR-26,T ,09:00 AM-10:15 AM,26,25,Russell Zanca,8.310 - cap:27
SSH,UG,ANT 215/REL 215,1L,What is Islam? Anthropological Perspectives,   3.0,6,12-JAN-26,24-APR-26,R ,09:00 AM-10:15 AM,26,25,Russell Zanca,8.310 - cap:27
SSH,UG,ANT 231,1L,Frauds and Fallacies in Archaeology,   3.0,6,12-JAN-26,24-APR-26,T ,01:30 PM-02:45 PM,25,25,Katherine Erdman,8.422A - cap:32
SSH,UG,ANT 231,1L,Frauds and Fallacies in Archaeology,   3.0,6,12-JAN-26,24-APR-26,R ,01:30 PM-02:45 PM,25,25,Katherine Erdman,8.422A - cap:32
SSH,UG,ANT 232,1L,"Life, Death and Economy: Archaeology of Central Asia",   3.0,6,12-JAN-26,24-APR-26,T ,03:00 PM-04:15 PM,25,25,Paula Dupuy,8.321 - cap:32
SSH,UG,ANT 232,1L,"Life, Death and Economy: Archaeology of Central Asia",   3.0,6,12-JAN-26,24-APR-26,R ,03:00 PM-04:15 PM,25,25,Paula Dupuy,8.321 - cap:32
SSH,UG,ANT 270,1L,Anthropology of Warfare,   3.0,6,12-JAN-26,24-APR-26,F ,09:00 AM-11:50 AM,25,25,Ulan Bigozhin,8.154 - cap:56
SSH,UG,ANT 286,1L,Nomads: Around the world and through time,   3.0,6,12-JAN-26,24-APR-26,T ,04:30 PM-05:45 PM,18,25,Paula Dupuy,8.321 - cap:32
SSH,UG,ANT 286,1L,Nomads: Around the world and through time,   3.0,6,12-JAN-26,24-APR-26,R ,04:30 PM-05:45 PM,18,25,Paula Dupuy,8.321 - cap:32
SSH,UG,ANT 306,1L,Anthropology of Performance,   3.0,6,12-JAN-26,24-APR-26,T ,06:00 PM-07:15 PM,25,25,Snezhana Atanova,8.154 - cap:56
SSH,UG,ANT 306,1L,Anthropology of Performance,   3.0,6,12-JAN-26,24-APR-26,R ,06:00 PM-07:15 PM,25,25,Snezhana Atanova,8.154 - cap:56
SSH,UG,ANT 317,1L,"Museum space: collections, collectors and society",   3.0,6,12-JAN-26,24-APR-26,M ,01:00 PM-03:50 PM,20,25,Snezhana Atanova,8.422A - cap:32
SSH,UG,ANT 361,1L,"Human Evolution: Bones, Stones and Genomes",   3.0,6,12-JAN-26,24-APR-26,W ,01:00 PM-03:50 PM,12,16,Reed Coil,8.147 - cap:15
SSH,UG,ANT 386/SOC 386,1L,Social Challenges of Climate Change,   3.0,6,12-JAN-26,24-APR-26,M ,09:00 AM-09:50 AM,20,25,Matvey Lomonosov,8.310 - cap:27
SSH,UG,ANT 386/SOC 386,1L,Social Challenges of Climate Change,   3.0,6,12-JAN-26,24-APR-26,W ,09:00 AM-09:50 AM,20,25,Matvey Lomonosov,8.310 - cap:27
SSH,UG,ANT 386/SOC 386,1L,Social Challenges of Climate Change,   3.0,6,12-JAN-26,24-APR-26,F ,09:00 AM-09:50 AM,20,25,Matvey Lomonosov,8.310 - cap:27
SSH,UG,ANT 400,2Int,Research Assistance in Anthropology,   1.0,2,12-JAN-26,24-APR-26,,Online/Distant,2,5,Paula Dupuy,
SSH,UG,ANT 400,3Int,Research Assistance in Anthropology,   1.0,2,12-JAN-26,24-APR-26,,Online/Distant,1,5,Abay Namen,
SSH,UG,ANT 400,4Int,Research Assistance in Anthropology,   1.0,2,12-JAN-26,24-APR-26,,Online/Distant,1,5,Philipp Schroeder,
SSH,UG,ANT 402,2Int,Research Assistance in Anthropology,   1.0,2,12-JAN-26,24-APR-26,,Online/Distant,1,5,Paula Dupuy,
SSH,UG,ANT 412/SOC 412,1L,Approaches to Global Development,   3.0,6,12-JAN-26,24-APR-26,T ,01:30 PM-02:45 PM,26,26,Philipp Schroeder,8.154 - cap:56
SSH,UG,ANT 412/SOC 412,1L,Approaches to Global Development,   3.0,6,12-JAN-26,24-APR-26,R ,01:30 PM-02:45 PM,26,26,Philipp Schroeder,8.154 - cap:56
SSH,UG,ANT 412/SOC 412,2L,Approaches to Global Development,   3.0,6,12-JAN-26,24-APR-26,T ,03:00 PM-04:15 PM,26,26,Philipp Schroeder,8.154 - cap:56
SSH,UG,ANT 412/SOC 412,2L,Approaches to Global Development,   3.0,6,12-JAN-26,24-APR-26,R ,03:00 PM-04:15 PM,26,26,Philipp Schroeder,8.154 - cap:56
SSH,UG,ANT 499,1S,Capstone Seminar II,   3.0,6,12-JAN-26,24-APR-26,W ,09:00 AM-11:50 AM,2,25,Dana Burkhanova,8.154 - cap:56
GSB,UG,BBA 201,1L,Management and Organizations,   3.0,6,12-JAN-26,24-APR-26,M ,09:30 AM-10:20 AM,1,1,Mirat Akshalov,(C3) 3038 - cap:39
GSB,UG,BBA 201,1L,Management and Organizations,   3.0,6,12-JAN-26,24-APR-26,W ,09:30 AM-10:20 AM,1,1,Mirat Akshalov,(C3) 3038 - cap:39
GSB,UG,BBA 201,1L,Management and Organizations,   3.0,6,12-JAN-26,24-APR-26,F ,09:30 AM-10:20 AM,1,1,Mirat Akshalov,(C3) 3038 - cap:39
GSB,UG,BBA 203,1L,Responsible Leadership (Ethics),   3.0,6,12-JAN-26,24-APR-26,M ,02:00 PM-05:00 PM,7,7,"Mirat Akshalov, David Reinhard",(C3) 1009 - cap:70
GSB,UG,BBA 209,1L,"Environmental, Social and Governance Factors (ESG) for Business",   3.0,6,12-JAN-26,24-APR-26,W ,02:00 PM-05:00 PM,9,7,"Mirat Akshalov, Roza Nurgozhayeva",(C3) 1009 - cap:70
GSB,UG,BBA 240,1L,Strategy,   3.0,6,12-JAN-26,24-APR-26,M ,11:00 AM-11:50 AM,1,1,Mirat Akshalov,(C3) 3038 - cap:39
GSB,UG,BBA 240,1L,Strategy,   3.0,6,12-JAN-26,24-APR-26,W ,11:00 AM-11:50 AM,1,1,Mirat Akshalov,(C3) 3038 - cap:39
GSB,UG,BBA 240,1L,Strategy,   3.0,6,12-JAN-26,24-APR-26,F ,11:00 AM-11:50 AM,1,1,Mirat Akshalov,(C3) 3038 - cap:39
